date,m06,m11,m16
2009-12-14 17:43:27+00:00,0.94,-0.815,-0.785
2009-12-14 17:58:51+00:00,0.91,-0.87,-0.815
2009-12-14 18:13:59+00:00,0.94,-0.905,-1.04
2009-12-19 17:11:38+00:00,0.65,-0.73,-0.755
2009-12-19 17:30:22+00:00,0.665,-0.815,-0.525
2009-12-19 18:08:38+00:00,0.725,-0.685,-0.655
2009-12-19 18:23:58+00:00,0.895,-0.935,-0.915
2009-12-19 18:40:05+00:00,0.7150000000000001,-1.255,-0.815
2009-12-19 18:56:22+00:00,0.925,-0.995,-0.875
2010-01-21 19:02:36+00:00,0.72,-0.815,-0.6
2010-01-28 17:35:45+00:00,0.915,-0.815,-0.6000000000000001
2010-01-28 17:51:18+00:00,0.91,-0.78,-0.38
2010-01-28 18:06:33+00:00,0.65,-0.915,-0.26
2010-01-28 18:21:46+00:00,0.94,-0.925,-0.84
2010-02-01 17:22:28+00:00,0.95,-0.96,-0.95
2010-02-01 18:19:57+00:00,0.835,-0.805,-0.395
2010-02-01 18:35:20+00:00,0.75,-0.85,-0.5700000000000001
2010-02-01 18:50:23+00:00,0.78,-0.83,-0.56
2010-02-08 17:50:33+00:00,0.86,-0.885,-0.785
2010-02-08 18:06:02+00:00,0.87,-0.905,-0.8
2010-02-08 18:21:36+00:00,0.85,-0.9,-0.8
2010-02-15 17:05:42+00:00,0.55,-0.665,0.06
2010-02-15 17:21:30+00:00,0.685,-0.79,-0.485
2010-04-24 22:06:20+00:00,0.92,-1.0,-0.64
2010-04-24 22:11:12+00:00,0.92,-1.03,-1.03
2010-04-24 22:18:47+00:00,0.875,-0.8200000000000001,-0.505
2010-04-24 22:34:29+00:00,0.95,-1.12,-0.43
2010-04-24 22:39:10+00:00,0.95,-0.74,-0.645
2010-04-24 22:44:54+00:00,0.96,-0.84,-0.66
2010-04-24 22:49:15+00:00,0.945,-1.455,-1.37
2010-04-24 22:54:03+00:00,0.97,-1.04,-0.875
2010-04-24 23:01:44+00:00,0.96,-1.075,-1.365
2010-04-24 23:07:09+00:00,0.55,-0.715,-0.16
2010-04-24 23:22:34+00:00,0.455,-0.6799999999999999,-0.21
2010-04-24 23:27:15+00:00,0.93,-1.11,-0.9
2010-04-24 23:32:02+00:00,0.92,-0.9,-0.56
2010-04-24 23:36:44+00:00,0.755,-0.84,-0.41500000000000004
2010-04-25 00:13:00+00:00,0.575,-0.62,-0.52
2010-04-25 00:17:36+00:00,0.555,-0.48,-0.77
2010-04-25 01:07:47+00:00,0.57,-0.56,-0.2
2010-04-25 04:14:44+00:00,0.6,-0.55,-0.545
